,LABID,Sample,Raw.Reads,On.Target.Reads,Pct.On.Target,Pct.GT,IFI,new.fnames
630,196861,GTseek_025_384i5_341_PLT_5_196861,82616,23958,29,78.39,0.52,z0196861_Mnov_GTseek_025_341_PLT_5.fastq
676,195733,GTseek_024_384i5_241_PLT_4_195733,64680,23987,37.09,83.07,0.63,z0195733_Mnov_GTseek_024_241_PLT_4.fastq
632,56394,GTseek_023_384i5_020_PLT_3_56394,79203,24050,30.37,78.65,1.27,z0056394_Mnov_GTseek_023_020_PLT_3.fastq
596,195708,GTseek_024_384i5_363_PLT_4_195708,62511,24369,38.98,75,0.61,z0195708_Mnov_GTseek_024_363_PLT_4.fastq
622,195687,GTseek_023_384i5_148_PLT_3_195687,55104,24393,44.27,77.86,0.4,z0195687_Mnov_GTseek_023_148_PLT_3.fastq
664,196792,GTseek_025_384i5_371_PLT_5_196792,50142,24526,48.91,81.77,0.76,z0196792_Mnov_GTseek_025_371_PLT_5.fastq
660,55963,GTseek_029_384i5_087_PLT_9_55963,86832,24805,28.57,81.25,0.66,z0055963_Mnov_GTseek_029_087_PLT_9.fastq
648,196759,GTseek_025_384i5_237_PLT_5_196759,57206,25055,43.8,80.21,0.47,z0196759_Mnov_GTseek_025_237_PLT_5.fastq
544,55910,GTseek_029_384i5_105_PLT_9_55910,74702,25230,33.77,69.27,0.44,z0055910_Mnov_GTseek_029_105_PLT_9.fastq
604,43491,GTseek_026_384i5_127_PLT_6_43491,97848,25256,25.81,76.04,0.48,z0043491_Mnov_GTseek_026_127_PLT_6.fastq
623,195724,GTseek_024_384i5_367_PLT_4_195724,119682,25838,21.59,77.86,0.48,z0195724_Mnov_GTseek_024_367_PLT_4.fastq
580,51844,GTseek_027_384i5_137_PLT_7_51844,120595,26201,21.73,73.18,0.34,z0051844_Mnov_GTseek_027_137_PLT_7.fastq
624,196748,GTseek_025_384i5_215_PLT_5_196748,62779,26265,41.84,77.86,0.55,z0196748_Mnov_GTseek_025_215_PLT_5.fastq
585,45792,GTseek_022_384i5_052_PLT_2_45792,90965,26405,29.03,74.22,0.75,z0045792_Mnov_GTseek_022_052_PLT_2.fastq
593,43477,GTseek_026_384i5_183_PLT_6_43477,249632,26409,10.58,74.74,0.43,z0043477_Mnov_GTseek_026_183_PLT_6.fastq
671,55986,GTseek_029_384i5_085_PLT_9_55986,101232,26467,26.14,82.29,0.27,z0055986_Mnov_GTseek_029_085_PLT_9.fastq
587,55965,GTseek_029_384i5_115_PLT_9_55965,100857,26515,26.29,74.22,0.39,z0055965_Mnov_GTseek_029_115_PLT_9.fastq
674,196831,GTseek_025_384i5_303_PLT_5_196831,70168,26520,37.8,82.81,0.21,z0196831_Mnov_GTseek_025_303_PLT_5.fastq
690,196765,GTseek_025_384i5_245_PLT_5_196765,59510,26551,44.62,86.2,0.61,z0196765_Mnov_GTseek_025_245_PLT_5.fastq
725,196825,GTseek_025_384i5_375_PLT_5_196825,105337,26800,25.44,92.19,0.99,z0196825_Mnov_GTseek_025_375_PLT_5.fastq
566,53073,GTseek_027_384i5_161_PLT_7_53073,72912,26803,36.76,71.88,0.19,z0053073_Mnov_GTseek_027_161_PLT_7.fastq
618,196722,GTseek_024_384i5_349_PLT_4_196722,104654,26919,25.72,77.34,0.78,z0196722_Mnov_GTseek_024_349_PLT_4.fastq
640,196711,GTseek_024_384i5_337_PLT_4_196711,98691,27013,27.37,79.43,0.71,z0196711_Mnov_GTseek_024_337_PLT_4.fastq
551,40465,GTseek_026_384i5_051_PLT_6_40465,66660,27164,40.75,70.57,0.68,z0040465_Mnov_GTseek_026_051_PLT_6.fastq
605,195791,GTseek_024_384i5_327_PLT_4_195791,45550,27189,59.69,76.3,0.23,z0195791_Mnov_GTseek_024_327_PLT_4.fastq
644,196841,GTseek_025_384i5_315_PLT_5_196841,48567,27243,56.09,79.69,0.45,z0196841_Mnov_GTseek_025_315_PLT_5.fastq
490,42288,GTseek_028_384i5_135_PLT_8_42288,150031,27432,18.28,60.68,0.16,z0042288_Mnov_GTseek_028_135_PLT_8.fastq
647,196732,GTseek_025_384i5_195_PLT_5_196732,58099,27465,47.27,80.21,0.31,z0196732_Mnov_GTseek_025_195_PLT_5.fastq
721,56011,GTseek_029_384i5_117_PLT_9_56011,172891,27639,15.99,91.67,0.54,z0056011_Mnov_GTseek_029_117_PLT_9.fastq
620,41153,GTseek_026_384i5_063_PLT_6_41153,53052,27800,52.4,77.6,0.63,z0041153_Mnov_GTseek_026_063_PLT_6.fastq
652,196830,GTseek_025_384i5_301_PLT_5_196830,178951,28075,15.69,80.47,0.71,z0196830_Mnov_GTseek_025_301_PLT_5.fastq
709,56079,GTseek_029_384i5_147_PLT_9_56079,188735,28099,14.89,89.58,0.66,z0056079_Mnov_GTseek_029_147_PLT_9.fastq
595,195696,GTseek_023_384i5_160_PLT_3_195696,78867,28134,35.67,75,0.39,z0195696_Mnov_GTseek_023_160_PLT_3.fastq
655,196753,GTseek_025_384i5_367_PLT_5_196753,88052,28167,31.99,80.73,0.31,z0196753_Mnov_GTseek_025_367_PLT_5.fastq
613,49020,GTseek_022_384i5_160_PLT_2_49020,112908,28215,24.99,77.08,0.25,z0049020_Mnov_GTseek_022_160_PLT_2.fastq
685,196793,GTseek_025_384i5_271_PLT_5_196793,50954,28295,55.53,85.42,0.37,z0196793_Mnov_GTseek_025_271_PLT_5.fastq
921,196855,GTseek_030_384i5_371_Mnov_B12_pasted,112722,28308,25.11,77.47,0.37,z0196855_Mnov_GTseek_030_371_POS_B12.fastq
656,195700,GTseek_023_384i5_164_PLT_3_195700,74805,28393,37.96,81.25,0.47,z0195700_Mnov_GTseek_023_164_PLT_3.fastq
621,41498,GTseek_026_384i5_083_PLT_6_41498,254315,28448,11.19,77.6,0.34,z0041498_Mnov_GTseek_026_083_PLT_6.fastq
615,41483,GTseek_026_384i5_079_PLT_6_41483,64350,28493,44.28,77.08,0.44,z0041483_Mnov_GTseek_026_079_PLT_6.fastq
539,196894,GTseek_026_384i5_003_PLT_6_196894,47648,28686,60.2,68.75,0.59,z0196894_Mnov_GTseek_026_003_PLT_6.fastq
627,196850,GTseek_025_384i5_329_PLT_5_196850,74504,28867,38.75,78.12,0.54,z0196850_Mnov_GTseek_025_329_PLT_5.fastq
578,43526,GTseek_026_384i5_139_PLT_6_43526,191016,28894,15.13,72.92,0.83,z0043526_Mnov_GTseek_026_139_PLT_6.fastq
694,55970,GTseek_029_384i5_091_PLT_9_55970,128701,29055,22.58,86.72,0.84,z0055970_Mnov_GTseek_029_091_PLT_9.fastq
703,55947,GTseek_029_384i5_093_PLT_9_55947,113653,29992,26.39,89.06,0.54,z0055947_Mnov_GTseek_029_093_PLT_9.fastq
650,43940,GTseek_027_384i5_173_PLT_7_43940,164165,30300,18.46,80.21,0.21,z0043940_Mnov_GTseek_027_173_PLT_7.fastq
626,43693,GTseek_026_384i5_169_PLT_6_43693,123372,30680,24.87,77.86,0.49,z0043693_Mnov_GTseek_026_169_PLT_6.fastq
625,41519,GTseek_026_384i5_093_PLT_6_41519,82373,30732,37.31,77.86,0.59,z0041519_Mnov_GTseek_026_093_PLT_6.fastq
526,45793,GTseek_022_384i5_156_PLT_2_45793,62477,30738,49.2,67.45,0.37,z0045793_Mnov_GTseek_022_156_PLT_2.fastq
682,196858,GTseek_025_384i5_335_PLT_5_196858,77172,30785,39.89,84.38,0.29,z0196858_Mnov_GTseek_025_335_PLT_5.fastq
600,16579,GTseek_022_384i5_138_PLT_2_16579,117157,31325,26.74,76.04,0.56,z0016579_Mnov_GTseek_022_138_PLT_2.fastq
710,173485,GTseek_023_384i5_046_PLT_3_173485,119206,31723,26.61,90.1,0.5,z0173485_Mnov_GTseek_023_046_PLT_3.fastq
651,195715,GTseek_024_384i5_211_PLT_4_195715,67615,31867,47.13,80.47,0.57,z0195715_Mnov_GTseek_024_211_PLT_4.fastq
573,53078,GTseek_027_384i5_163_PLT_7_53078,154649,32092,20.75,72.4,0.68,z0053078_Mnov_GTseek_027_163_PLT_7.fastq
562,43891,GTseek_027_384i5_021_PLT_7_43891,74143,32262,43.51,71.35,0.33,z0043891_Mnov_GTseek_027_021_PLT_7.fastq
686,53849,GTseek_023_384i5_008_PLT_3_53849,44714,32671,73.07,85.68,0.55,z0053849_Mnov_GTseek_023_008_PLT_3.fastq
658,196743,GTseek_025_384i5_209_PLT_5_196743,54012,32902,60.92,81.25,0.34,z0196743_Mnov_GTseek_025_209_PLT_5.fastq
931,196856,GTseek_030_384i5_373_Mnov_C12_pasted,115230,33151,28.77,81.38,0.2,z0196856_Mnov_GTseek_030_373_POS_C12.fastq
657,195708,GTseek_024_384i5_197_PLT_4_195708,49495,33377,67.44,81.25,0.25,z0195708_Mnov_GTseek_024_197_PLT_4.fastq
646,45332,GTseek_022_384i5_148_PLT_2_45332,91956,33468,36.4,80.21,0.54,z0045332_Mnov_GTseek_022_148_PLT_2.fastq
670,45779,GTseek_027_384i5_101_PLT_7_45779,150634,33543,22.27,82.29,0.26,z0045779_Mnov_GTseek_027_101_PLT_7.fastq
607,43649,GTseek_026_384i5_153_PLT_6_43649,134969,33582,24.88,76.3,0.39,z0043649_Mnov_GTseek_026_153_PLT_6.fastq
638,45728,GTseek_027_384i5_083_PLT_7_45728,99908,33597,33.63,79.17,0.31,z0045728_Mnov_GTseek_027_083_PLT_7.fastq
689,196690,GTseek_023_384i5_062_PLT_3_196690,106901,33784,31.6,86.2,0.36,z0196690_Mnov_GTseek_023_062_PLT_3.fastq
669,29864,GTseek_026_384i5_039_PLT_6_29864,99648,33959,34.08,82.29,0.47,z0029864_Mnov_GTseek_026_039_PLT_6.fastq
617,45358,GTseek_022_384i5_154_PLT_2_45358,182891,34236,18.72,77.34,0.63,z0045358_Mnov_GTseek_022_154_PLT_2.fastq
639,196689,GTseek_023_384i5_060_PLT_3_196689,181041,34246,18.92,79.43,1.06,z0196689_Mnov_GTseek_023_060_PLT_3.fastq
635,43481,GTseek_026_384i5_119_PLT_6_43481,110108,34276,31.13,78.65,0.21,z0043481_Mnov_GTseek_026_119_PLT_6.fastq
537,30424,GTseek_029_384i5_165_PLT_9_30424,122552,34682,28.3,68.49,0.15,z0030424_Mnov_GTseek_029_165_PLT_9.fastq
606,196728,GTseek_024_384i5_361_PLT_4_196728,83970,34909,41.57,76.3,0.58,z0196728_Mnov_GTseek_024_361_PLT_4.fastq
642,43572,GTseek_026_384i5_143_PLT_6_43572,111840,35199,31.47,79.43,0.43,z0043572_Mnov_GTseek_026_143_PLT_6.fastq
643,45332,GTseek_022_384i5_190_PLT_2_45332,186947,35287,18.88,79.69,0.31,z0045332_Mnov_GTseek_022_190_PLT_2.fastq
659,43491,GTseek_026_384i5_185_PLT_6_43491,124672,35301,28.32,81.25,0.22,z0043491_Mnov_GTseek_026_185_PLT_6.fastq
711,195707,GTseek_024_384i5_195_PLT_4_195707,64988,35347,54.39,90.1,0.48,z0195707_Mnov_GTseek_024_195_PLT_4.fastq
687,178296,GTseek_023_384i5_178_PLT_3_178296,54395,35967,66.12,85.68,0.62,z0178296_Mnov_GTseek_023_178_PLT_3.fastq
688,40275,GTseek_026_384i5_041_PLT_6_40275,144037,36775,25.53,85.68,0.63,z0040275_Mnov_GTseek_026_041_PLT_6.fastq
684,29833,GTseek_022_384i5_188_PLT_2_29833,166293,37305,22.43,85.16,0.39,z0029833_Mnov_GTseek_022_188_PLT_2.fastq
719,107073,GTseek_029_384i5_033_PLT_9_107073,139124,37439,26.91,91.15,0.59,z0107073_Mnov_GTseek_029_033_PLT_9.fastq
637,41494,GTseek_026_384i5_081_PLT_6_41494,87619,37504,42.8,79.17,0.66,z0041494_Mnov_GTseek_026_081_PLT_6.fastq
645,196892,GTseek_026_384i5_001_PLT_6_196892,70440,38028,53.99,79.95,0.46,z0196892_Mnov_GTseek_026_001_PLT_6.fastq
492,25439,GTseek_028_384i5_131_PLT_8_25439,169966,38055,22.39,60.94,0.2,z0025439_Mnov_GTseek_028_131_PLT_8.fastq
611,196894,GTseek_026_384i5_171_PLT_6_196894,80306,38068,47.4,76.56,0.45,z0196894_Mnov_GTseek_026_171_PLT_6.fastq
500,12201,GTseek_028_384i5_159_PLT_8_12201,112147,38522,34.35,63.28,0.19,z0012201_Mnov_GTseek_028_159_PLT_8.fastq
727,55990,GTseek_029_384i5_099_PLT_9_55990,182229,38596,21.18,92.19,0.65,z0055990_Mnov_GTseek_029_099_PLT_9.fastq
723,56103,GTseek_029_384i5_151_PLT_9_56103,138193,38608,27.94,91.93,0.31,z0056103_Mnov_GTseek_029_151_PLT_9.fastq
665,29846,GTseek_026_384i5_037_PLT_6_29846,95533,39898,41.76,81.77,0.59,z0029846_Mnov_GTseek_026_037_PLT_6.fastq
707,196710,GTseek_024_384i5_335_PLT_4_196710,100234,40364,40.27,89.58,0.22,z0196710_Mnov_GTseek_024_335_PLT_4.fastq
641,43477,GTseek_026_384i5_115_PLT_6_43477,233288,40819,17.5,79.43,0.22,z0043477_Mnov_GTseek_026_115_PLT_6.fastq
547,11162,GTseek_028_384i5_133_PLT_8_11162,207656,41297,19.89,69.79,0.41,z0011162_Mnov_GTseek_028_133_PLT_8.fastq
628,51402,GTseek_022_384i5_164_PLT_2_51402,63821,41383,64.84,78.39,0.26,z0051402_Mnov_GTseek_022_164_PLT_2.fastq
649,196895,GTseek_026_384i5_005_PLT_6_196895,67687,42084,62.17,80.21,0.76,z0196895_Mnov_GTseek_026_005_PLT_6.fastq
215,18264,GTseek_030_384i5_195_Mnov_B01_pasted,129320,42407,32.79,81.84,0.32,z0018264_Mnov_GTseek_030_195_POS_B01.fastq
667,51891,GTseek_027_384i5_141_PLT_7_51891,109847,42589,38.77,81.77,0.27,z0051891_Mnov_GTseek_027_141_PLT_7.fastq
675,40403,GTseek_026_384i5_047_PLT_6_40403,84851,44284,52.19,82.81,0.61,z0040403_Mnov_GTseek_026_047_PLT_6.fastq
716,51324,GTseek_022_384i5_054_PLT_2_51324,58763,44513,75.75,91.15,0.18,z0051324_Mnov_GTseek_022_054_PLT_2.fastq
582,17317,GTseek_028_384i5_129_PLT_8_17317,202216,44705,22.11,73.7,0.14,z0017317_Mnov_GTseek_028_129_PLT_8.fastq
691,43504,GTseek_026_384i5_187_PLT_6_43504,127795,44795,35.05,86.2,0.59,z0043504_Mnov_GTseek_026_187_PLT_6.fastq
739,195696,GTseek_023_384i5_190_PLT_3_195696,106967,45514,42.55,94.01,0.45,z0195696_Mnov_GTseek_023_190_PLT_3.fastq
636,44064,GTseek_027_384i5_061_PLT_7_44064,126136,45565,36.12,78.65,0.33,z0044064_Mnov_GTseek_027_061_PLT_7.fastq
742,40337,GTseek_029_384i5_157_PLT_9_40337,167805,47132,28.09,94.01,0.61,z0040337_Mnov_GTseek_029_157_PLT_9.fastq
738,56063,GTseek_029_384i5_125_PLT_9_56063,154132,47464,30.79,93.75,0.24,z0056063_Mnov_GTseek_029_125_PLT_9.fastq
734,196686,GTseek_023_384i5_056_PLT_3_196686,119778,50258,41.96,93.23,0.37,z0196686_Mnov_GTseek_023_056_PLT_3.fastq
666,41512,GTseek_026_384i5_089_PLT_6_41512,223352,50396,22.56,81.77,0.48,z0041512_Mnov_GTseek_026_089_PLT_6.fastq
693,51939,GTseek_027_384i5_145_PLT_7_51939,127209,50837,39.96,86.72,0.45,z0051939_Mnov_GTseek_027_145_PLT_7.fastq
672,56059,GTseek_029_384i5_069_PLT_9_56059,113826,51014,44.82,82.55,0.26,z0056059_Mnov_GTseek_029_069_PLT_9.fastq
702,51400,GTseek_022_384i5_192_PLT_2_51400,97549,51421,52.71,89.06,0.67,z0051400_Mnov_GTseek_022_192_PLT_2.fastq
574,32258,GTseek_029_384i5_167_PLT_9_32258,188927,52181,27.62,72.4,0.16,z0032258_Mnov_GTseek_029_167_PLT_9.fastq
683,43504,GTseek_026_384i5_135_PLT_6_43504,148050,52566,35.51,84.64,0.72,z0043504_Mnov_GTseek_026_135_PLT_6.fastq
741,56076,GTseek_029_384i5_135_PLT_9_56076,133438,52912,39.65,94.01,0.31,z0056076_Mnov_GTseek_029_135_PLT_9.fastq
735,196692,GTseek_023_384i5_066_PLT_3_196692,78100,53042,67.92,93.49,0.43,z0196692_Mnov_GTseek_023_066_PLT_3.fastq
673,195716,GTseek_024_384i5_213_PLT_4_195716,92839,53175,57.28,82.81,0.31,z0195716_Mnov_GTseek_024_213_PLT_4.fastq
584,30475,GTseek_028_384i5_121_PLT_8_30475,172147,53378,31.01,73.96,0.2,z0030475_Mnov_GTseek_028_121_PLT_8.fastq
732,187885,GTseek_028_384i5_109_PLT_8_187885,115023,54048,46.99,92.97,0.18,z0187885_Mnov_GTseek_028_109_PLT_8.fastq
730,12701,GTseek_029_384i5_155_PLT_9_12701,166980,56090,33.59,92.71,0.21,z0012701_Mnov_GTseek_029_155_PLT_9.fastq
678,45731,GTseek_027_384i5_085_PLT_7_45731,182796,57750,31.59,83.33,0.37,z0045731_Mnov_GTseek_027_085_PLT_7.fastq
680,55977,GTseek_028_384i5_017_PLT_8_55977,79042,59433,75.19,84.11,0.21,z0055977_Mnov_GTseek_028_017_PLT_8.fastq
751,66166,GTseek_023_384i5_030_PLT_3_66166,208781,59874,28.68,95.57,0.6,z0066166_Mnov_GTseek_023_030_PLT_3.fastq
733,56058,GTseek_029_384i5_067_PLT_9_56058,148533,61839,41.63,92.97,0.33,z0056058_Mnov_GTseek_029_067_PLT_9.fastq
731,178296,GTseek_023_384i5_052_PLT_3_178296,102002,62801,61.57,92.97,0.22,z0178296_Mnov_GTseek_023_052_PLT_3.fastq
705,197663,GTseek_026_384i5_013_PLT_6_197663,111937,63872,57.06,89.32,0.51,z0197663_Mnov_GTseek_026_013_PLT_6.fastq
744,68471,GTseek_023_384i5_174_PLT_3_68471,136940,66875,48.84,94.53,0.63,z0068471_Mnov_GTseek_023_174_PLT_3.fastq
746,61980,GTseek_028_384i5_029_PLT_8_61980,398231,67039,16.83,94.53,0.59,z0061980_Mnov_GTseek_028_029_PLT_8.fastq
706,55962,GTseek_028_384i5_013_PLT_8_55962,140693,67827,48.21,89.32,0.28,z0055962_Mnov_GTseek_028_013_PLT_8.fastq
722,187842,GTseek_028_384i5_097_PLT_8_187842,152051,67986,44.71,91.93,0.26,z0187842_Mnov_GTseek_028_097_PLT_8.fastq
718,45788,GTseek_027_384i5_105_PLT_7_45788,217560,68028,31.27,91.15,0.54,z0045788_Mnov_GTseek_027_105_PLT_7.fastq
714,56377,GTseek_023_384i5_014_PLT_3_56377,86542,69077,79.82,90.62,0.34,z0056377_Mnov_GTseek_023_014_PLT_3.fastq
740,56029,GTseek_029_384i5_119_PLT_9_56029,197937,70665,35.7,94.01,0.32,z0056029_Mnov_GTseek_029_119_PLT_9.fastq
692,197667,GTseek_026_384i5_019_PLT_6_197667,115116,73656,63.98,86.72,0.2,z0197667_Mnov_GTseek_026_019_PLT_6.fastq
715,187819,GTseek_028_384i5_093_PLT_8_187819,131892,73676,55.86,90.62,0.68,z0187819_Mnov_GTseek_028_093_PLT_8.fastq
729,51185,GTseek_027_384i5_123_PLT_7_51185,297449,76614,25.76,92.45,0.52,z0051185_Mnov_GTseek_027_123_PLT_7.fastq
698,45333,GTseek_027_384i5_069_PLT_7_45333,165212,76875,46.53,88.02,0.22,z0045333_Mnov_GTseek_027_069_PLT_7.fastq
736,108489,GTseek_028_384i5_043_PLT_8_108489,138552,82349,59.44,93.49,0.17,z0108489_Mnov_GTseek_028_043_PLT_8.fastq
726,45791,GTseek_027_384i5_109_PLT_7_45791,208010,83236,40.02,92.19,0.46,z0045791_Mnov_GTseek_027_109_PLT_7.fastq
697,197667,GTseek_026_384i5_173_PLT_6_197667,232744,84004,36.09,88.02,0.23,z0197667_Mnov_GTseek_026_173_PLT_6.fastq
696,197672,GTseek_026_384i5_027_PLT_6_197672,160400,84870,52.91,87.24,0.46,z0197672_Mnov_GTseek_026_027_PLT_6.fastq
708,197669,GTseek_026_384i5_023_PLT_6_197669,149887,85281,56.9,89.58,0.34,z0197669_Mnov_GTseek_026_023_PLT_6.fastq
700,197673,GTseek_026_384i5_029_PLT_6_197673,140696,87594,62.26,88.54,0.3,z0197673_Mnov_GTseek_026_029_PLT_6.fastq
609,12201,GTseek_028_384i5_139_PLT_8_12201,277322,90354,32.58,76.3,0.17,z0012201_Mnov_GTseek_028_139_PLT_8.fastq
748,45789,GTseek_027_384i5_107_PLT_7_45789,389060,92553,23.79,95.05,0.17,z0045789_Mnov_GTseek_027_107_PLT_7.fastq
720,51898,GTseek_027_384i5_143_PLT_7_51898,207147,94542,45.64,91.41,0.29,z0051898_Mnov_GTseek_027_143_PLT_7.fastq
745,56375,GTseek_028_384i5_023_PLT_8_56375,254026,99652,39.23,94.53,0.47,z0056375_Mnov_GTseek_028_023_PLT_8.fastq
712,56378,GTseek_023_384i5_016_PLT_3_56378,127476,102161,80.14,90.36,0.28,z0056378_Mnov_GTseek_023_016_PLT_3.fastq
704,53759,GTseek_023_384i5_172_PLT_3_53759,171118,102446,59.87,89.32,0.24,z0053759_Mnov_GTseek_023_172_PLT_3.fastq
724,56399,GTseek_023_384i5_026_PLT_3_56399,215682,104000,48.22,92.19,0.36,z0056399_Mnov_GTseek_023_026_PLT_3.fastq
699,61967,GTseek_023_384i5_028_PLT_3_61967,200983,106351,52.92,88.54,0.38,z0061967_Mnov_GTseek_023_028_PLT_3.fastq
653,67213,GTseek_028_384i5_125_PLT_8_67213,312674,107854,34.49,80.47,0.21,z0067213_Mnov_GTseek_028_125_PLT_8.fastq
713,43876,GTseek_027_384i5_017_PLT_7_43876,186830,118759,63.57,90.36,0.49,z0043876_Mnov_GTseek_027_017_PLT_7.fastq
737,187846,GTseek_028_384i5_099_PLT_8_187846,183190,126967,69.31,93.49,0.21,z0187846_Mnov_GTseek_028_099_PLT_8.fastq
717,101084,GTseek_023_384i5_036_PLT_3_101084,154865,127009,82.01,91.15,0.27,z0101084_Mnov_GTseek_023_036_PLT_3.fastq
616,25439,GTseek_028_384i5_157_PLT_8_25439,288933,152689,52.85,77.08,0.14,z0025439_Mnov_GTseek_028_157_PLT_8.fastq
743,56395,GTseek_023_384i5_022_PLT_3_56395,371897,153271,41.21,94.53,0.25,z0056395_Mnov_GTseek_023_022_PLT_3.fastq
749,63092,GTseek_028_384i5_033_PLT_8_63092,225812,168731,74.72,95.05,0.25,z0063092_Mnov_GTseek_028_033_PLT_8.fastq
747,56382,GTseek_023_384i5_018_PLT_3_56382,262409,190696,72.67,94.79,0.31,z0056382_Mnov_GTseek_023_018_PLT_3.fastq
752,107099,GTseek_028_384i5_039_PLT_8_107099,300313,210249,70.01,95.83,0.25,z0107099_Mnov_GTseek_028_039_PLT_8.fastq
750,107101,GTseek_028_384i5_041_PLT_8_107101,367314,278815,75.91,95.31,0.23,z0107101_Mnov_GTseek_028_041_PLT_8.fastq
728,11944,GTseek_022_384i5_136_PLT_2_11944,340019,287533,84.56,92.45,0.46,z0011944_Mnov_GTseek_022_136_PLT_2.fastq