locus,fwd,rev,ratio,total
Mnov_gtseq_219,306,272,1.125,578
Mnov_gtseq_535,2,333,166.5,335
Mnov_gtseq_268,90,78,1.153846154,168
Mnov_gtseq_97,105,63,1.666666667,168
Mnov_gtseq_67,84,73,1.150684932,157
Mnov_gtseq_91,70,75,1.071428571,145
Mnov_gtseq_72,72,72,1,144
Mnov_gtseq_90,86,58,1.482758621,144
Mnov_gtseq_543,131,2,65.5,133
Mnov_gtseq_193,90,33,2.727272727,123
Mnov_gtseq_29,61,52,1.173076923,113
Mnov_gtseq_61,14,99,7.071428571,113
Mnov_gtseq_397,57,50,1.14,107
Mnov_gtseq_263,27,78,2.888888889,105
Mnov_gtseq_57,38,62,1.631578947,100
Mnov_gtseq_21,50,48,1.041666667,98
Mnov_gtseq_461,33,65,1.96969697,98
Mnov_gtseq_189,88,6,14.66666667,94
Mnov_gtseq_416,54,38,1.421052632,92
Mnov_gtseq_434,50,41,1.219512195,91
Mnov_gtseq_284,47,43,1.093023256,90
Mnov_gtseq_241,44,45,1.022727273,89
Mnov_gtseq_73,42,39,1.076923077,81
Mnov_gtseq_8,62,13,4.769230769,75
Mnov_gtseq_297,37,35,1.057142857,72
Mnov_gtseq_41,35,37,1.057142857,72
Mnov_gtseq_83,36,36,1,72
Mnov_gtseq_201,36,35,1.028571429,71
Mnov_gtseq_541,36,34,1.058823529,70
Mnov_gtseq_384,36,31,1.161290323,67
Mnov_gtseq_39,35,32,1.09375,67
Mnov_gtseq_26,35,29,1.206896552,64
Mnov_gtseq_300,34,30,1.133333333,64
Mnov_gtseq_98,32,30,1.066666667,62
Mnov_gtseq_474,31,28,1.107142857,59
Mnov_gtseq_440,30,28,1.071428571,58
Mnov_gtseq_84,29,29,1,58
Mnov_gtseq_244,37,20,1.85,57
Mnov_gtseq_33,27,30,1.111111111,57
Mnov_gtseq_227,38,18,2.111111111,56
Mnov_gtseq_333,28,28,1,56
Mnov_gtseq_42,28,28,1,56
Mnov_gtseq_398,35,20,1.75,55
Mnov_gtseq_4,53,2,26.5,55
Mnov_gtseq_513,27,27,1,54
Mnov_gtseq_202,28,25,1.12,53
Mnov_gtseq_287,29,23,1.260869565,52
Mnov_gtseq_43,30,22,1.363636364,52
Mnov_gtseq_94,24,28,1.166666667,52
Mnov_gtseq_261,26,25,1.04,51
Mnov_gtseq_211,33,17,1.941176471,50
Mnov_gtseq_27,33,17,1.941176471,50
Mnov_gtseq_401,26,24,1.083333333,50
Mnov_gtseq_269,33,15,2.2,48
Mnov_gtseq_64,25,23,1.086956522,48
Mnov_gtseq_143,35,11,3.181818182,46
Mnov_gtseq_405,25,21,1.19047619,46
Mnov_gtseq_228,40,4,10,44
Mnov_gtseq_341,26,17,1.529411765,43
Mnov_gtseq_399,24,19,1.263157895,43
Mnov_gtseq_477,21,22,1.047619048,43
Mnov_gtseq_299,21,21,1,42
Mnov_gtseq_395,24,18,1.333333333,42
Mnov_gtseq_390,40,1,40,41
Mnov_gtseq_448,35,6,5.833333333,41
Mnov_gtseq_523,37,4,9.25,41
Mnov_gtseq_195,19,20,1.052631579,39
Mnov_gtseq_209,21,18,1.166666667,39
Mnov_gtseq_220,28,11,2.545454545,39
Mnov_gtseq_520,34,5,6.8,39
Mnov_gtseq_231,37,0,Inf,37
Mnov_gtseq_308,15,22,1.466666667,37
Mnov_gtseq_328,17,18,1.058823529,35
Mnov_gtseq_38,20,15,1.333333333,35
Mnov_gtseq_413,16,19,1.1875,35
Mnov_gtseq_479,19,16,1.1875,35
Mnov_gtseq_1,17,17,1,34
Mnov_gtseq_292,18,16,1.125,34
Mnov_gtseq_302,29,5,5.8,34
Mnov_gtseq_69,19,15,1.266666667,34
Mnov_gtseq_170,26,7,3.714285714,33
Mnov_gtseq_388,33,0,Inf,33
Mnov_gtseq_46,13,20,1.538461538,33
Mnov_gtseq_65,16,17,1.0625,33
Mnov_gtseq_197,18,14,1.285714286,32
Mnov_gtseq_3,14,18,1.285714286,32
Mnov_gtseq_48,16,16,1,32
Mnov_gtseq_255,16,15,1.066666667,31
Mnov_gtseq_321,16,15,1.066666667,31
Mnov_gtseq_547,15,16,1.066666667,31
Mnov_gtseq_71,15,16,1.066666667,31
Mnov_gtseq_248,13,17,1.307692308,30
Mnov_gtseq_274,20,10,2,30
Mnov_gtseq_407,17,13,1.307692308,30
Mnov_gtseq_324,27,2,13.5,29
Mnov_gtseq_2,13,15,1.153846154,28
Mnov_gtseq_260,6,22,3.666666667,28
Mnov_gtseq_277,15,13,1.153846154,28
Mnov_gtseq_318,22,6,3.666666667,28
Mnov_gtseq_104,11,16,1.454545455,27
Mnov_gtseq_345,20,7,2.857142857,27
Mnov_gtseq_62,15,12,1.25,27
Mnov_gtseq_81,13,14,1.076923077,27
Mnov_gtseq_257,13,13,1,26
Mnov_gtseq_347,13,13,1,26
Mnov_gtseq_53,17,9,1.888888889,26
Mnov_gtseq_205,12,13,1.083333333,25
Mnov_gtseq_468,13,12,1.083333333,25
Mnov_gtseq_12,12,12,1,24
Mnov_gtseq_232,14,10,1.4,24
Mnov_gtseq_312,12,12,1,24
Mnov_gtseq_314,13,11,1.181818182,24
Mnov_gtseq_426,11,13,1.181818182,24
Mnov_gtseq_460,14,10,1.4,24
Mnov_gtseq_75,15,9,1.666666667,24
Mnov_gtseq_158,14,9,1.555555556,23
Mnov_gtseq_288,23,0,Inf,23
Mnov_gtseq_40,12,11,1.090909091,23
Mnov_gtseq_92,12,11,1.090909091,23
Mnov_gtseq_19,13,9,1.444444444,22
Mnov_gtseq_238,13,9,1.444444444,22
Mnov_gtseq_276,14,8,1.75,22
Mnov_gtseq_514,12,10,1.2,22
Mnov_gtseq_190,12,9,1.333333333,21
Mnov_gtseq_215,11,10,1.1,21
Mnov_gtseq_289,10,11,1.1,21
Mnov_gtseq_335,6,15,2.5,21
Mnov_gtseq_417,3,18,6,21
Mnov_gtseq_518,12,9,1.333333333,21
Mnov_gtseq_10,9,11,1.222222222,20
Mnov_gtseq_235,10,10,1,20
Mnov_gtseq_25,12,8,1.5,20
Mnov_gtseq_323,8,12,1.5,20
Mnov_gtseq_363,10,10,1,20
Mnov_gtseq_470,11,9,1.222222222,20
Mnov_gtseq_278,7,12,1.714285714,19
Mnov_gtseq_394,9,10,1.111111111,19
Mnov_gtseq_410,10,9,1.111111111,19
Mnov_gtseq_452,9,10,1.111111111,19
Mnov_gtseq_86,9,10,1.111111111,19
Mnov_gtseq_102,3,15,5,18
Mnov_gtseq_200,17,1,17,18
Mnov_gtseq_203,4,14,3.5,18
Mnov_gtseq_251,8,10,1.25,18
Mnov_gtseq_400,10,8,1.25,18
Mnov_gtseq_472,10,8,1.25,18
Mnov_gtseq_74,9,9,1,18
Mnov_gtseq_157,13,4,3.25,17
Mnov_gtseq_16,8,9,1.125,17
Mnov_gtseq_162,11,6,1.833333333,17
Mnov_gtseq_216,6,11,1.833333333,17
Mnov_gtseq_237,14,3,4.666666667,17
Mnov_gtseq_243,8,9,1.125,17
Mnov_gtseq_334,9,8,1.125,17
Mnov_gtseq_502,8,9,1.125,17
Mnov_gtseq_509,10,7,1.428571429,17
Mnov_gtseq_532,2,15,7.5,17
Mnov_gtseq_66,11,6,1.833333333,17
Mnov_gtseq_79,12,5,2.4,17
Mnov_gtseq_140,9,7,1.285714286,16
Mnov_gtseq_208,8,8,1,16
Mnov_gtseq_22,8,8,1,16
Mnov_gtseq_254,8,8,1,16
Mnov_gtseq_291,7,9,1.285714286,16
Mnov_gtseq_54,8,8,1,16
Mnov_gtseq_56,6,10,1.666666667,16
Mnov_gtseq_60,9,7,1.285714286,16
Mnov_gtseq_82,9,7,1.285714286,16
Mnov_gtseq_126,6,9,1.5,15
Mnov_gtseq_141,8,7,1.142857143,15
Mnov_gtseq_225,7,8,1.142857143,15
Mnov_gtseq_239,8,7,1.142857143,15
Mnov_gtseq_240,8,7,1.142857143,15
Mnov_gtseq_253,3,12,4,15
Mnov_gtseq_28,8,7,1.142857143,15
Mnov_gtseq_45,8,7,1.142857143,15
Mnov_gtseq_451,8,7,1.142857143,15
Mnov_gtseq_47,13,2,6.5,15
Mnov_gtseq_68,8,7,1.142857143,15
Mnov_gtseq_13,6,8,1.333333333,14
Mnov_gtseq_138,7,7,1,14
Mnov_gtseq_15,8,6,1.333333333,14
Mnov_gtseq_20,7,7,1,14
Mnov_gtseq_204,7,7,1,14
Mnov_gtseq_262,13,1,13,14
Mnov_gtseq_507,7,7,1,14
Mnov_gtseq_51,8,6,1.333333333,14
Mnov_gtseq_70,8,6,1.333333333,14
Mnov_gtseq_247,8,5,1.6,13
Mnov_gtseq_304,2,11,5.5,13
Mnov_gtseq_313,7,6,1.166666667,13
Mnov_gtseq_376,7,6,1.166666667,13
Mnov_gtseq_406,6,7,1.166666667,13
Mnov_gtseq_218,6,6,1,12
Mnov_gtseq_315,7,5,1.4,12
Mnov_gtseq_370,6,6,1,12
Mnov_gtseq_380,6,6,1,12
Mnov_gtseq_420,6,6,1,12
Mnov_gtseq_44,9,3,3,12
Mnov_gtseq_511,5,7,1.4,12
Mnov_gtseq_80,6,6,1,12
Mnov_gtseq_93,5,7,1.4,12
Mnov_gtseq_159,0,11,Inf,11
Mnov_gtseq_210,7,4,1.75,11
Mnov_gtseq_246,6,5,1.2,11
Mnov_gtseq_258,6,5,1.2,11
Mnov_gtseq_265,6,5,1.2,11
Mnov_gtseq_533,5,6,1.2,11
Mnov_gtseq_55,5,6,1.2,11
Mnov_gtseq_58,5,6,1.2,11
Mnov_gtseq_192,4,6,1.5,10
Mnov_gtseq_342,7,3,2.333333333,10
Mnov_gtseq_366,5,5,1,10
Mnov_gtseq_372,5,5,1,10
Mnov_gtseq_391,6,4,1.5,10
Mnov_gtseq_414,3,7,2.333333333,10
Mnov_gtseq_504,6,4,1.5,10
Mnov_gtseq_113,5,4,1.25,9
Mnov_gtseq_206,4,5,1.25,9
Mnov_gtseq_339,5,4,1.25,9
Mnov_gtseq_356,6,3,2,9
Mnov_gtseq_408,5,4,1.25,9
Mnov_gtseq_419,5,4,1.25,9
Mnov_gtseq_125,4,4,1,8
Mnov_gtseq_152,4,4,1,8
Mnov_gtseq_222,4,4,1,8
Mnov_gtseq_250,4,4,1,8
Mnov_gtseq_256,6,2,3,8
Mnov_gtseq_281,5,3,1.666666667,8
Mnov_gtseq_285,4,4,1,8
Mnov_gtseq_317,4,4,1,8
Mnov_gtseq_424,4,4,1,8
Mnov_gtseq_544,5,3,1.666666667,8
Mnov_gtseq_63,4,4,1,8
Mnov_gtseq_112,4,3,1.333333333,7
Mnov_gtseq_155,5,2,2.5,7
Mnov_gtseq_160,5,2,2.5,7
Mnov_gtseq_166,3,4,1.333333333,7
Mnov_gtseq_213,3,4,1.333333333,7
Mnov_gtseq_214,3,4,1.333333333,7
Mnov_gtseq_224,4,3,1.333333333,7
Mnov_gtseq_23,4,3,1.333333333,7
Mnov_gtseq_264,4,3,1.333333333,7
Mnov_gtseq_309,4,3,1.333333333,7
Mnov_gtseq_338,4,3,1.333333333,7
Mnov_gtseq_344,4,3,1.333333333,7
Mnov_gtseq_37,3,4,1.333333333,7
Mnov_gtseq_447,4,3,1.333333333,7
Mnov_gtseq_545,4,3,1.333333333,7
Mnov_gtseq_548,5,2,2.5,7
Mnov_gtseq_144,3,3,1,6
Mnov_gtseq_154,4,2,2,6
Mnov_gtseq_156,4,2,2,6
Mnov_gtseq_223,3,3,1,6
Mnov_gtseq_271,3,3,1,6
Mnov_gtseq_310,4,2,2,6
Mnov_gtseq_355,0,6,Inf,6
Mnov_gtseq_358,3,3,1,6
Mnov_gtseq_379,4,2,2,6
Mnov_gtseq_454,3,3,1,6
Mnov_gtseq_475,3,3,1,6
Mnov_gtseq_522,2,4,2,6
Mnov_gtseq_549,3,3,1,6
Mnov_gtseq_161,3,2,1.5,5
Mnov_gtseq_182,3,2,1.5,5
Mnov_gtseq_270,2,3,1.5,5
Mnov_gtseq_320,4,1,4,5
Mnov_gtseq_326,3,2,1.5,5
Mnov_gtseq_327,3,2,1.5,5
Mnov_gtseq_421,2,3,1.5,5
Mnov_gtseq_437,3,2,1.5,5
Mnov_gtseq_478,3,2,1.5,5
Mnov_gtseq_515,2,3,1.5,5
Mnov_gtseq_106,2,2,1,4
Mnov_gtseq_110,2,2,1,4
Mnov_gtseq_129,2,2,1,4
Mnov_gtseq_135,2,2,1,4
Mnov_gtseq_149,2,2,1,4
Mnov_gtseq_151,2,2,1,4
Mnov_gtseq_17,2,2,1,4
Mnov_gtseq_174,3,1,3,4
Mnov_gtseq_178,2,2,1,4
Mnov_gtseq_187,2,2,1,4
Mnov_gtseq_196,2,2,1,4
Mnov_gtseq_245,2,2,1,4
Mnov_gtseq_305,2,2,1,4
Mnov_gtseq_311,2,2,1,4
Mnov_gtseq_359,2,2,1,4
Mnov_gtseq_361,4,0,Inf,4
Mnov_gtseq_377,1,3,3,4
Mnov_gtseq_378,2,2,1,4
Mnov_gtseq_431,2,2,1,4
Mnov_gtseq_441,3,1,3,4
Mnov_gtseq_446,2,2,1,4
Mnov_gtseq_465,2,2,1,4
Mnov_gtseq_473,2,2,1,4
Mnov_gtseq_530,2,2,1,4
Mnov_gtseq_539,2,2,1,4
Mnov_gtseq_6,2,2,1,4
Mnov_gtseq_115,2,1,2,3
Mnov_gtseq_167,2,1,2,3
Mnov_gtseq_217,2,1,2,3
Mnov_gtseq_283,3,0,Inf,3
Mnov_gtseq_316,0,3,Inf,3
Mnov_gtseq_337,1,2,2,3
Mnov_gtseq_352,2,1,2,3
Mnov_gtseq_374,2,1,2,3
Mnov_gtseq_402,1,2,2,3
Mnov_gtseq_422,2,1,2,3
Mnov_gtseq_445,2,1,2,3
Mnov_gtseq_463,1,2,2,3
Mnov_gtseq_506,2,1,2,3
Mnov_gtseq_107,1,1,1,2
Mnov_gtseq_118,1,1,1,2
Mnov_gtseq_145,1,1,1,2
Mnov_gtseq_191,1,1,1,2
Mnov_gtseq_230,1,1,1,2
Mnov_gtseq_273,1,1,1,2
Mnov_gtseq_275,1,1,1,2
Mnov_gtseq_298,1,1,1,2
Mnov_gtseq_307,1,1,1,2
Mnov_gtseq_322,1,1,1,2
Mnov_gtseq_350,1,1,1,2
Mnov_gtseq_383,1,1,1,2
Mnov_gtseq_415,1,1,1,2
Mnov_gtseq_444,0,2,Inf,2
Mnov_gtseq_5,1,1,1,2
Mnov_gtseq_50,1,1,1,2
Mnov_gtseq_529,2,0,Inf,2
Mnov_gtseq_546,2,0,Inf,2
Mnov_gtseq_550,1,1,1,2
Mnov_gtseq_88,1,1,1,2
Mnov_gtseq_108,0,1,Inf,1
Mnov_gtseq_139,1,0,Inf,1
Mnov_gtseq_171,0,1,Inf,1
Mnov_gtseq_180,0,1,Inf,1
Mnov_gtseq_332,1,0,Inf,1
Mnov_gtseq_357,0,1,Inf,1
Mnov_gtseq_364,1,0,Inf,1
Mnov_gtseq_471,1,0,Inf,1
Mnov_gtseq_526,1,0,Inf,1
Mnov_gtseq_111,0,0,NA,0
Mnov_gtseq_114,0,0,NA,0
Mnov_gtseq_116,0,0,NA,0
Mnov_gtseq_117,0,0,NA,0
Mnov_gtseq_124,0,0,NA,0
Mnov_gtseq_127,0,0,NA,0
Mnov_gtseq_128,0,0,NA,0
Mnov_gtseq_130,0,0,NA,0
Mnov_gtseq_134,0,0,NA,0
Mnov_gtseq_137,0,0,NA,0
Mnov_gtseq_146,0,0,NA,0
Mnov_gtseq_147,0,0,NA,0
Mnov_gtseq_148,0,0,NA,0
Mnov_gtseq_168,0,0,NA,0
Mnov_gtseq_173,0,0,NA,0
Mnov_gtseq_177,0,0,NA,0
Mnov_gtseq_181,0,0,NA,0
Mnov_gtseq_186,0,0,NA,0
Mnov_gtseq_188,0,0,NA,0
Mnov_gtseq_229,0,0,NA,0
Mnov_gtseq_234,0,0,NA,0
Mnov_gtseq_30,0,0,NA,0
Mnov_gtseq_301,0,0,NA,0
Mnov_gtseq_340,0,0,NA,0
Mnov_gtseq_346,0,0,NA,0
Mnov_gtseq_348,0,0,NA,0
Mnov_gtseq_353,0,0,NA,0
Mnov_gtseq_354,0,0,NA,0
Mnov_gtseq_360,0,0,NA,0
Mnov_gtseq_368,0,0,NA,0
Mnov_gtseq_371,0,0,NA,0
Mnov_gtseq_373,0,0,NA,0
Mnov_gtseq_381,0,0,NA,0
Mnov_gtseq_386,0,0,NA,0
Mnov_gtseq_404,0,0,NA,0
Mnov_gtseq_438,0,0,NA,0
Mnov_gtseq_442,0,0,NA,0
Mnov_gtseq_462,0,0,NA,0
Mnov_gtseq_516,0,0,NA,0
Mnov_gtseq_517,0,0,NA,0
Mnov_gtseq_521,0,0,NA,0
Mnov_gtseq_536,0,0,NA,0
Mnov_gtseq_553,0,0,NA,0
,5036,4369,,
,,,,
Total reads in undetermined:,,1434920,,